seed,arm,inventory_sigma,max_drawdown,fills,final_pnl,t_stat,max_abs_inventory,quote_crossings
34,skew_only,48.58711759304106,-2805.2909464448358,512.0,614.7331681494489,0.32283775324361125,100.0,0.0
34,as,42.177275350596084,-1685.1002485140004,313.0,0.8364017147775833,0.0008118515637092077,100.0,0.0
35,fixed,65.38369139166127,-35988.88485775658,550.0,-19548.87621828204,-0.7861811182269798,100.0,0.0
35,spread_matched,58.694299518777804,-33941.78463299056,358.0,-1447.9883249862678,-0.05817651432515649,100.0,0.0
35,skew_only,53.780427954786674,-34755.09706994219,574.0,-14726.809378858658,-0.6510115586826584,100.0,0.0
35,as,47.45397770471934,-26348.602211862286,366.0,-7368.2074247170485,-0.39801854138375015,100.0,0.0
36,fixed,41.748584538879875,-1668.6361282738646,562.0,2775.147131028766,1.3478379210876692,100.0,0.0
36,spread_matched,34.40378117300481,-4212.094011935178,350.0,3689.944200472615,0.7810514003032724,100.0,0.0
36,skew_only,39.57772863619134,-981.8898209828888,566.0,2468.2980151549614,1.3923153510604223,100.0,0.0
36,as,37.66862413202797,-3047.3379468475387,358.0,601.0751969578732,0.1889313707933653,100.0,0.0
37,fixed,45.053834009992975,-1102.3689825583656,595.0,282.5441935173097,0.2874889018210883,100.0,0.0
37,spread_matched,41.727084237938314,-1217.3470358416762,358.0,2572.8005421340445,1.9168301531266458,100.0,0.0
37,skew_only,43.739569716676456,-1110.610176993609,599.0,51.66171630746841,0.05906080594869838,100.0,0.0
37,as,35.39444836411496,-1217.6704535416757,363.0,2305.814912168128,1.8789344689078527,100.0,0.0
38,fixed,45.5268411379485,-9836.289266386213,583.0,1712.9908447807595,0.24705047632804825,100.0,0.0
